ID,Location,Vessel Type,Flag,Gross Tonnage,Length (m),Port,Injury Type,Fatalities,Description,Weather,Damage,Date
21bacba8-b671-ef11-a670-6045bd0ce93b,Internal waters -> Port area,Unknown,UNITED KINGDOM,0.0,0.99,UNITED KINGDOM,Wounds and superficial injuries,0,A vessel crew member sustained a degloving injury to their finger.,Unknown,No damage,2024-09-01
f6ef8db6-78a6-ef11-b8e8-6045bd0e3723,Internal waters -> Port area,Cargo ship,PANAMA,17000.0,160.0,UNITED KINGDOM,Bone fractures,0,A bulk carrier crew member broke their leg during unmooring operations.,Rain,No damage,2024-11-01
3d847cb4-cd06-ee11-8f6e-002248c87a40,Coastal waters <= 12 nm,Service ship,BAHAMAS,20000.0,160.0,,"Dislocations, sprains and strains",0,Crane barge crew member dislocated their shoulder when pulling a heavy object,Unknown,No damage,2023-06-01
925e5dfb-ce53-ef11-bfe3-002248c7d68c,Inland waters,Recreational craft,UNITED KINGDOM,4.9,16.0,,Wounds and superficial injuries,0,River boat struck a branch resulting in damage to the starboard side windows and injuring 2 passengers.,Unknown,Minor damage (less than material damage),2024-07-01
f79a95ad-b20e-ee11-8f6e-002248c87a58,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Traumatic amputations (Loss of body parts),0,A cruise ship crew member amputated their finger in the door of a cold room.,Clear,No damage,2023-06-01
96b48661-d21c-ee11-8f6d-002248c8714f,Internal waters -> Port area,Service ship,UNITED KINGDOM,23000.0,170.0,NETHERLANDS,Multiple injuries,0,A service vessel crew member sustained multiple injuries after being trapped in the messenger line.,Clear,No damage,2023-07-01
dcb44ea2-7384-ee11-8179-002248c87a1d,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,"Dislocations, sprains and strains",0,A cruise ship crew member sustained a knee injury.,Overcast,No damage,2023-11-01
8d1cfff7-3932-ef11-8e4e-6045bd0b033c,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,0.0,,Wounds and superficial injuries,0,A fishing vessel crew member became unresponsive after trying to remove a fishing hook from their hand,Unknown,No damage,2024-06-01
c2dc8faf-e07f-ef11-ac21-000d3a870c32,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,A cruise ships passenger tripped resulting in a closed fracture to the knee.,Clear,No damage,2024-09-01
e22b199f-17b9-ed11-b597-6045bd0b12c1,Internal waters -> Port area,Service ship,UNITED KINGDOM,2.3,3.4,UNITED KINGDOM,Drowning and asphyxiation,0,A search and rescue crewmember fell overboard during a man overboard training exercise,Overcast,No damage,2023-02-01
f8d479fe-850e-ee11-8f6e-002248c87a58,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,0.0,9.9,UNITED KINGDOM,Unknown or unspecified,0,RIB's crew member sustained a back injury requiring further medical assistance.,Overcast,No damage,2023-06-01
5e85c7cd-291b-ee11-8f6d-002248c87a40,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,55.0,23.0,,Concussions and internal injuries (including crush injuries not mentioned above),0,A Sail training vessel crew member hit their head on a hatch and suffered concussion,Overcast,No damage,2023-07-01
7425baf7-d040-ee11-bdf3-002248c8714f,Open sea -> Within EEZ,Service ship,UNITED KINGDOM,2000.0,60.0,,Wounds and superficial injuries,0,A supply vessel passenger sustained a laceration to their finger.,Clear,No damage,2023-08-01
bc18f003-c16c-ee11-9ae7-002248c87217,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,100000.0,280.0,AUSTRALIA,Bone fractures,0,Cruise ship's passenger lost their balance and fell resulting in a fractured wrist.,Clear,No damage,2023-10-01
2f6ee94a-0674-ee11-8179-002248c87a40,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,A cruise ship crewmember fell from the ladder of a bunkbed and fractured their arm.,Overcast,Minor damage (less than material damage),2023-10-01
86717b4d-ff5d-ef11-bfe4-6045bd0b320a,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,UNITED STATES - US,Bone fractures,0,A cruise ship passenger fell down the stairs and fractured their ankle.,Clear,No damage,2024-08-01
515222ed-716f-ef11-a670-6045bd0ce93b,Coastal waters <= 12 nm,Passenger ship,BERMUDA,140000.0,330.0,,Bone fractures,0,A cruise ship passenger rolled their ankle whilst walking and sustained a fracture.,Overcast,No damage,2024-09-01
e48fae96-26eb-ed11-8847-002248c878ca,Open sea -> Within EEZ,Service ship,UNITED KINGDOM,9300.0,130.0,,Bone fractures,0,Dive support vessel crewmember sustained a hand injury and was airlifted to shore.,Unknown,No damage,2023-05-01
513f8d7d-f4e1-ee11-904d-002248c8796d,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,A cruise ship passenger fell whilst entering a tender and broke their rib.,Clear,No damage,2024-03-01
2918605d-1598-ed11-aad1-0022481b5e4e,Internal waters -> Port area,Passenger ship,FRANCE,27000.0,160.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,A ro-pax ferry crewmember sustained a foot injury whilst loading unaccompanied trailers.,Clear,No damage,2023-01-01
a8cf0c79-85ff-ed11-8f6c-002248c8714f,Inland waters -> Lake,Recreational craft,UNITED KINGDOM,0.0,4.4,,Wounds and superficial injuries,0,Training RIB crewmember fell overboard and was struck by the propeller resulting in a minor injury.,Clear,No damage,2023-05-01
8a74f872-c611-ee11-8f6e-002248c87a58,Internal waters -> Port area,Service ship,UNITED KINGDOM,30.0,16.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,A search and rescue vessel crew member dislocated their knee.,Clear,No damage,2023-06-01
21c07df1-ef5d-ee11-8def-002248c878ca,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,A cruise ship passenger fell forward at the top of a staircase and sustained a fractured wrist.,Clear,No damage,2023-09-01
d6e3e339-c9af-ee11-a569-002248c87a1d,Coastal waters <= 12 nm,Service ship,UNITED KINGDOM,20.0,14.0,,"Dislocations, sprains and strains",0,A pilot snapped a tendon in their finger whilst disembarking from a vessel.,Clear,No damage,2024-01-01
15202088-62b8-ef11-b8e8-002248006bd7,Open sea -> Within EEZ,Fishing vessel,UNITED KINGDOM,470.0,28.0,,Bone fractures,0,A fishing vessel crew member fell from height and sustained a back injury,Clear,No damage,2024-12-01
e0209103-c420-ee11-9966-002248c878ca,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,180000.0,340.0,UNITED KINGDOM,Bone fractures,0,Cruise ship's crew member trapped their finger and sustained a closed fracture,Overcast,No damage,2023-07-01
7914de01-8613-ef11-9f89-6045bd0ddb30,Open sea -> Within EEZ,Recreational craft,UNITED KINGDOM,3.9,5.9,,Concussions and internal injuries (including crush injuries not mentioned above),0,Sailing vessel crew member was struck by boom resulting in head injury.,Unknown,No damage,2024-05-01
73cdcbb7-9d42-ef11-a316-6045bd0b040f,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,A cruise ship passenger tripped and fractured their wrist,Clear,No damage,2024-07-01
95a54cc6-d156-ee11-be6f-002248c8714f,Coastal waters <= 12 nm,Fishing vessel,UNITED KINGDOM,200.0,23.0,,Wounds and superficial injuries,0,Fishing vessel crew member snagged finger on bridal when hauling resulting a fingernail becoming disloged,Unknown,No damage,2023-09-01
5761f49c-94bb-ee11-9078-002248c878ca,Internal waters -> Port area,Inland waterway vessel,UNITED KINGDOM,310.0,30.0,UNITED KINGDOM,Wounds and superficial injuries,0,A tug boat crew member was struck on the leg,Unknown,Minor damage (less than material damage),2023-12-01
f938c78c-0c03-ef11-9f8a-002248c8714f,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,Cruise ships passenger fractured ankle while playing pickleball.,Clear,No damage,2024-04-01
8df8f597-9a54-ef11-bfe3-000d3a874bdc,Internal waters -> Port area,Service ship,UNITED KINGDOM,42.0,17.0,UNITED KINGDOM,Drowning and asphyxiation,0,SAR crew member went overboard when transferring to another vessel.,Unknown,No damage,2024-07-01
95453b24-08c7-ed11-b596-002248c6387e,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,110000.0,290.0,UNITED STATES - US,"Dislocations, sprains and strains",0,Passenger ship's crew member hurt their shoulder while on duty.,Clear,No damage,2023-02-01
0f6702ce-e605-ee11-8f6e-002248c87a1d,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,Cruise ships passenger slipped and sustained a fractured wrist,Overcast,No damage,2023-05-01
c02f2188-51d6-ee11-904d-002248c87217,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,A cruise ship passenger fell and fractured their ankle,Clear,No damage,2023-01-01
d08490e7-53d4-ed11-a7c6-002248c87a40,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,180000.0,340.0,UNITED KINGDOM,Bone fractures,0,Cruise ship passenger fell in their bathroom resulting in a fractured wrist.,Overcast,No damage,2023-03-01
c269d58f-0327-ee11-9965-002248c87a51,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,2.4,7.7,,Wounds and superficial injuries,0,A charter motor boat passenger suffered a minor head injury.,Clear,No damage,2023-07-01
f30e82d2-b92b-ee11-bdf4-002248c8714f,Coastal waters <= 12 nm,Service ship,UNITED KINGDOM,490.0,32.0,,Wounds and superficial injuries,0,A tug crew member sustained a minor head injury from a rope during equipment transfer from another vessel.,Clear,No damage,2023-07-01
0f36a247-b871-ee11-8179-002248c87a58,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,"Dislocations, sprains and strains",0,Cruise ship's passenger slipped resulting in a shoulder dislocation.,Overcast,No damage,2023-10-01
9d0055af-41cb-ee11-9079-002248c87a1d,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,"Cruise ship, passenger caught thumb in door resulting in closed fracture",Overcast,No damage,2024-02-01
9f141e92-54ac-ed11-83ff-0022481b5108,Open sea -> Within EEZ,Cargo ship,UNITED KINGDOM,17000.0,170.0,,"Burns, scalds and frostbites",0,Cargo vessel's crew member sustained an electrical burn.,Clear,No damage,2023-01-01
f3e3f3af-0ec7-ed11-b596-002248c6387e,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,Passenger ship's guest slipped and suffered a suspected neck fracture.,Clear,No damage,2023-03-01
db45768c-9437-ef11-a316-6045bd0b0696,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,35000.0,180.0,FRANCE,"Effects of sound, vibration and pressure",0,Ro-pax vessel crewmember sustained compressed air injury.,Clear,No damage,2024-06-01
4306529b-da7c-ef11-ac20-002248c6c24a,Open sea -> Within EEZ,Fishing vessel,UNITED KINGDOM,100.0,16.0,,Traumatic amputations (Loss of body parts),0,A fishing vessel crew member sustained an injured finger which became infected and had to be amputated.,Unknown,No damage,2024-08-01
473b0feb-e4fe-ed11-8f6c-002248c87a58,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,3.3,,Unknown or unspecified,0,Three PWs were racing with 2 colliding with a powerboat resulting in a injury.,Clear,Minor damage (less than material damage),2023-05-01
d9a3ac5b-5c88-ee11-be36-002248c878ca,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,Cruise ship's passenger lost their balance and fell resulting in a fractured wrist.,Clear,No damage,2023-11-01
b30f115b-f153-ef11-bfe3-6045bd0ac912,Internal waters -> Port area,Passenger ship,CYPRUS,34000.0,180.0,UNITED KINGDOM,Wounds and superficial injuries,0,RoPax crew member caught thumb while carrying out maintenance resulting in minor injury.,Clear,No damage,2024-08-01
f296ae0b-d592-ef11-8a69-002248c65071,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,480.0,49.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,"A ro-pax ferry crew member tripped over bitts on deck and fell, sustaining a sprained wrist.",Rain,No damage,2024-10-01
10243325-acb6-ed11-b597-0022481b50d1,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,Passenger ship's guest stumbled and fell against the bed inside the cabin resulting in a broken hip.,Clear,No damage,2023-02-01
d44824c6-57df-ed11-a7c6-002248c8796d,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,3.9,,Drowning and asphyxiation,0,An inflatable RHIB broached whilst approaching harbor and the crew were rescued.,Clear,No damage,2023-04-01
3edb39b5-a21c-ee11-8f6d-002248c87217,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,13.0,,Wounds and superficial injuries,0,Sailing vessel crew member suffered an open wound to their leg,Unknown,No damage,2023-07-01
15839428-d22a-ee11-9965-002248c87a4c,Open sea -> Within EEZ,Fishing vessel,UNITED KINGDOM,260.0,33.0,,Wounds and superficial injuries,0,Fishing vessel crewmember suffered a finger laceration injury whilst pushing wreckage overboard.,Clear,No damage,2023-07-01
f586506f-e64b-ee11-be6f-002248c8796d,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.0,14.0,,Unknown or unspecified,0,Yacht suffered a fire on board resulting in a minor smoke inhalation injury.,Unknown,Minor damage (less than material damage),2023-09-01
35fa6d4d-a374-ee11-8179-002248c87217,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,140000.0,330.0,AMERICAN SAMOA,"Dislocations, sprains and strains",0,Cruise ship's passenger tripped and ruptured a ligament.,Overcast,No damage,2023-10-01
66e7f3d1-b7b3-ee11-a568-002248c8714f,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,940.0,49.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,Ro-pax crew member slipped and fell whilst walking.,Clear,No damage,2024-01-01
0904da2b-790c-ef11-9f89-002248c87005,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Wounds and superficial injuries,0,A cruise ship crew member fell down an escalator and was signed off work for more than 4 days.,Clear,No damage,2024-04-01
045575b7-ba9d-ef11-8a6a-6045bd0cb55a,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,"A cruise ship passenger walked into a chair and fell, sustaining a fractured arm.",Clear,No damage,2024-10-01
d4cb30bf-48a1-ed11-aad1-0022481b5108,Internal waters -> Port area,Cargo ship,MALTA,61000.0,190.0,UNITED KINGDOM,Bone fractures,0,Vehicle carrier crewman suffered a fractured leg due to a parted mooring line.,Unknown,No damage,2023-01-01
558c28d5-0eb1-ed11-83ff-0022481b5ce8,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,110000.0,290.0,,Bone fractures,0,Cruise ship crew member fractured their index finger,Clear,No damage,2023-02-01
ae13a050-04f3-ed11-8848-002248c878ca,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,Cruise ship's passenger tripped and fell resulting in a fractured wrist.,Fog,No damage,2023-05-01
def42d1f-0211-ef11-9f89-0022481b70b2,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,"Dislocations, sprains and strains",0,A cruise ship passenger tripped and dislocated left shoulder,Overcast,No damage,2024-05-01
d26d6ed8-3a69-ef11-a670-6045bd0e516e,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,9.9,12.0,,Concussions and internal injuries (including crush injuries not mentioned above),0,Sailing vessels crew member fell injuring head resulting in medivac.,Unknown,No damage,2024-08-01
b056505d-0b8b-ef11-8a6a-6045bd0cb55a,Internal waters -> Port area,Recreational craft,UNITED KINGDOM,0.0,0.0,UNITED KINGDOM,Traumatic amputations (Loss of body parts),0,"A motor cruiser crew member put their finger into an engine, resulting in an amputation",Unknown,No damage,2024-10-01
3d1c6f3c-25b1-ed11-83ff-0022481b5ce8,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,"Dislocations, sprains and strains",0,A cruise ship crewmember strained their back whilst working,Clear,No damage,2023-02-01
f154a26c-d8fe-ed11-8f6c-002248c87a58,Coastal waters <= 12 nm,Fishing vessel,UNITED KINGDOM,22.0,13.0,,Drowning and asphyxiation,0,Fishing vessel crewmember fell overboard and was wrapped in the anchor chain.,Unknown,No damage,2023-05-01
ec5e4e39-a848-ee11-be6f-002248c87a40,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,180000.0,340.0,,Bone fractures,0,A cruise ship crew member fractured their thumb.,Rain,No damage,2023-08-01
5b824c47-6a51-ee11-be6f-002248c8714f,Open sea -> Within EEZ,Cargo ship,UNITED KINGDOM,23000.0,190.0,,"Dislocations, sprains and strains",0,A ro-ro cargo ship crew member dislocated their shoulder whilst descending the stairs.,Clear,No damage,2023-09-01
7cb956e1-de61-ee11-8df0-002248c8714f,Inland waters -> Lake,Inland waterway vessel,UNITED KINGDOM,120.0,44.0,,"Dislocations, sprains and strains",0,Inland passenger vessel's crew member slipped and sustained multiple injuries.,Rain,No damage,2023-09-01
4e33f009-0269-ee11-9ae7-002248c87a1d,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,5600.0,89.0,,Concussions and internal injuries (including crush injuries not mentioned above),0,A ro-pax vessel crew member slipped and sustained internal injuries.,Rain,No damage,2023-10-01
302c7f40-f5c0-ee11-9079-002248c8796d,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,A cruise ship passenger fell down whilst playing table tennis and sustained a fracture,Clear,No damage,2024-01-01
15afeaba-abd0-ee11-9079-002248c87a40,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,77000.0,260.0,,Bone fractures,0,Cruise ship's passenger fell from a bunk ladder resulting in a fractured ankle,Overcast,No damage,2024-02-01
66391002-4864-ee11-8df0-002248c87217,Open sea -> Within EEZ,Passenger ship,UNITED KINGDOM,58000.0,230.0,,Bone fractures,0,Cruise ship's passenger fell and sustained a fractured knee.,Clear,No damage,2023-09-01
a3062369-6e8c-ef11-8a69-002248007767,Open sea -> Within EEZ,Service ship,UNITED KINGDOM,130.0,26.0,,"Dislocations, sprains and strains",0,A crew transfer vessel crew member dislocated their knee whilst on duty,Clear,No damage,2024-10-01
1f2fab99-468c-ed11-81ad-0022481b5a3b,Coastal waters <= 12 nm,Service ship,UNITED KINGDOM,85.0,21.0,,Wounds and superficial injuries,0,Utility vessel made contact with a concrete support resulting in a minor injury and minor damage.,Clear,Minor damage (less than material damage),2023-01-01
0f108fdc-a06e-ef11-a671-6045bd0e2db0,Inland waters -> Channel,Inland waterway vessel,UNITED KINGDOM,15.0,12.0,,"Dislocations, sprains and strains",0,A pilot vessel crew member was injured by an unexpected wave.,Clear,No damage,2024-08-01
ec867ac5-b88f-ef11-8a69-0022481bb21d,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,11000.0,120.0,,Bone fractures,0,"A ro-pax vessel passenger fell in heavy weather and struck another passenger, both were injured.",Overcast,No damage,2024-10-01
ec867ac5-b88f-ef11-8a69-0022481bb21d,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,11000.0,120.0,,Wounds and superficial injuries,0,"A ro-pax vessel passenger fell in heavy weather and struck another passenger, both were injured.",Overcast,No damage,2024-10-01
d94b046c-c327-ee11-9965-002248c87217,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Bone fractures,0,A cruise ship guest fell and sustained a fractured foot.,Clear,No damage,2023-07-01
f1ce154b-de47-ee11-be6f-002248c878ca,Coastal waters <= 12 nm,Passenger ship,UNITED KINGDOM,100000.0,280.0,,Concussions and internal injuries (including crush injuries not mentioned above),0,Cruise ship's passenger fell down the stairs and sustained a head injury.,Overcast,No damage,2023-08-01
b7a32bf5-9cb3-ee11-a568-002248c87a1d,Internal waters -> Port area,Cargo ship,ANTIGUA AND BARBUDA,9900.0,130.0,UNITED KINGDOM,Bone fractures,0,Container ship's crew member was stuck between containers resulting in crush injuries.,Unknown,No damage,2024-01-01
5cb50e68-abba-ee11-9078-002248c87217,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,8700.0,110.0,UNITED KINGDOM,"Dislocations, sprains and strains",0,Ro-Ro passenger ship's crew member tripped resulting in a sprained ankle,Clear,No damage,2024-01-01
757ff9fc-a924-ef11-840a-000d3a86f9c6,Internal waters -> Port area,Inland waterway vessel,UNITED KINGDOM,45.0,13.0,UNITED KINGDOM,Bone fractures,0,A workboat crew member fell and fractured their ankle.,Unknown,No damage,2024-06-01
2c41e65a-f470-ef11-a670-002248c7d11f,Coastal waters <= 12 nm,Recreational craft,UNITED KINGDOM,0.99,4.9,,"Dislocations, sprains and strains",0,Sailing vessel with 1POB dislocated their shoulder resulting in towage and medical assistance.,Unknown,No damage,2024-09-01
cb95625b-cec7-ed11-b596-002248c638b9,Open sea -> Within EEZ,Recreational craft,UNITED KINGDOM,0.0,11.0,,"Effects of temperature extremes, light and radiation",0,A motor cruiser suffered propulsion failure and one crewmember was treated for mild hypothermia.,Unknown,Material damage -> Affecting performance or operational characteristics of the ship,2023-03-01
0301e6cc-8bf8-ed11-8f6d-002248c87a58,Coastal waters <= 12 nm,Fishing vessel,UNITED KINGDOM,5.4,11.0,,Bone fractures,0,A fishing potter crew member was dragged over board with the pots.,Unknown,No damage,2023-05-01
9031b35a-770b-ee11-8f6e-002248c87a40,Internal waters -> Port area,Passenger ship,BERMUDA,140000.0,330.0,UNITED KINGDOM,Bone fractures,0,A cruise ship passenger tripped and fell down stairs resulting in a fractured ankle,Clear,No damage,2023-06-01
97b1d184-0b31-ee11-bdf3-002248c87217,Inland waters -> River,Recreational craft,UNITED KINGDOM,5.9,8.2,,Multiple injuries,0,Yacht crew member hit by mast resulting in head injury & fractured legs,Clear,No damage,2023-08-01
64904d15-9499-ee11-be37-002248c8714f,Open sea -> Within EEZ,Fishing vessel,UNITED KINGDOM,250.0,24.0,,Drowning and asphyxiation,1,"See MAIB investigation report, when available",Unknown,No damage,2023-12-01
6fff5d97-2bda-ee11-904d-002248c87217,Open sea -> Outside EEZ,Passenger ship,UNITED KINGDOM,140000.0,330.0,,Bone fractures,0,A cruise ship passenger fell and fractured their hip,Overcast,No damage,2024-03-01
273a84ea-a2f5-ee11-a1ff-002248c87a1d,Internal waters -> Port area,Passenger ship,UNITED KINGDOM,4700.0,90.0,UNITED KINGDOM,Wounds and superficial injuries,0,Passenger Ro-Ro's crew member tripped while carrying a dish resulting in open wound to the finger.,Clear,No damage,2024-03-01
09782b44-b728-ef11-840a-00224800d94b,Internal waters -> Port area,Passenger ship,MALTA,15000.0,130.0,UNITED KINGDOM,Drowning and asphyxiation,0,"A cruise ship passenger fell from a tender and aspirated water, later developing pneumonia.",Unknown,No damage,2024-06-01
e8e395b3-1dad-ed11-83ff-0022481b5dcf,Internal waters -> Port area,Cargo ship,NORWAY,2500.0,69.0,UNITED KINGDOM,Drowning and asphyxiation,0,Fish carrier's crew members were exposed to ozone gas resulting in medical assistance.,Unknown,No damage,2023-02-01
e54e020b-3901-ee11-8f6c-002248c87a51,Internal waters -> Port area,Cargo ship,UNITED KINGDOM,28000.0,200.0,UNITED KINGDOM,Bone fractures,0,A replenishment tanker's crew member sustained an injury after falling out of bed.,Clear,No damage,2023-05-01
